Date,pm10,no2,so2,soot
6/2/2009,21.67,23.25,9.15,15.79
6/3/2009,26.17,23.87,9.7,17.21
6/4/2009,25.67,24.56,10,20.21
6/5/2009,23.67,26.5,9.35,17.26
6/6/2009,24.17,25,9.3,20.42
6/7/2009,27.5,24.5,9.75,14.89
6/8/2009,25.83,25.27,9.85,23.95
6/9/2009,38.5,29.94,11.9,25.16
6/10/2009,31.83,26.38,10.85,20.79
6/11/2009,30.8,20.69,9.6,16.11
6/12/2009,18.5,21.69,9.95,17.79
6/13/2009,24.5,24.75,10.45,20.32
6/14/2009,23.67,27.88,11.75,22.53
6/15/2009,25.67,29,12.4,20.89
6/16/2009,25.5,26.94,12.65,21.11
6/17/2009,16.67,23.5,10.75,19.11
6/18/2009,31.5,28.31,12.7,19.44
6/19/2009,31.67,25.73,10.85,19.65
6/20/2009,26.67,20.07,9.2,18
6/21/2009,10,19.87,9.65,16.41
6/22/2009,11.83,20.73,9.8,18.56
6/23/2009,23.67,25,11.9,17.67
6/24/2009,20.33,24.33,10.85,16.72
6/25/2009,18.67,21.73,11,13.61
6/26/2009,20.33,22.87,11.5,18.78
6/27/2009,32.5,22,10.45,20
6/28/2009,33.25,24.93,10.8,22.56
6/29/2009,26.5,22.6,10.5,19.11
6/30/2009,29.25,26.6,10.3,23.28
7/1/2009,33.9,25.69,10.28,26.33
7/2/2009,40.03,28.76,10.28,29.17
7/3/2009,38.77,28.01,10.72,23.17
7/4/2009,33.68,21.45,9.28,19.89
7/5/2009,26.18,18.79,9.35,16.83
7/6/2009,31.15,28.15,9.67,25.11
7/7/2009,32.42,26.43,11.57,23.28
7/8/2009,24.1,23.91,9.83,17.06
7/9/2009,21.87,24.86,9.44,25.06
7/10/2009,25.8,24.5,10.49,19.95
7/11/2009,15.02,18.2,9.03,13.16
7/12/2009,16.43,17.79,9.07,16.21
7/13/2009,23.88,25.64,10.05,21.84
7/14/2009,32.32,28.14,10.79,23.05
7/15/2009,43.03,27.55,12.89,28.28
7/16/2009,45.87,31.64,12.04,23.56
7/17/2009,40.35,27.91,11.48,19.67
7/18/2009,43.2,21.54,10.99,12.17
7/19/2009,30.17,19.47,9.78,12.44
7/20/2009,24,24.83,10.55,22.67
7/21/2009,28.35,27.93,8.18,22.72
7/22/2009,25.25,29.63,7.72,22.33
7/23/2009,33.55,36.37,8.21,29.5
7/24/2009,33.93,30.72,6.63,24.5
7/25/2009,23.38,25.5,7.87,18.72
7/26/2009,15.58,18.33,7.1,16.28
7/27/2009,27.6,28.78,7.62,20.94
7/28/2009,32.57,31.81,7.66,25.11
7/29/2009,29.1,32.51,8.18,26.72
7/30/2009,31.2,39.67,7.92,28.94
7/31/2009,29.78,41.39,9.16,27.59
8/1/2009,36.02,33.29,6.11,27.28
8/2/2009,40.15,24.14,6.5,19.61
8/3/2009,33.95,32.85,7.11,23.53
8/4/2009,33.63,35.14,6.49,26.44
8/5/2009,18.25,29.13,5.71,21
8/6/2009,20.12,26.85,5.39,19.32
8/7/2009,22.6,27.75,5.95,16.84
8/8/2009,43.65,28.93,6.85,20.84
8/9/2009,37.55,29.46,5.92,23.74
8/10/2009,32.33,25.63,7.3,21.05
8/11/2009,30.88,26.13,7.29,20.89
8/12/2009,29.8,28.1,5.51,21.11
8/13/2009,24.65,32.67,7.27,26.33
8/14/2009,29.55,29.96,7.25,30.67
8/15/2009,29.72,26.69,5.99,24.72
8/16/2009,30.88,31.33,6.13,27.72
8/17/2009,39.03,38.27,6.83,39.94
8/18/2009,39.1,34.01,6.35,30.44
8/19/2009,35.33,28.55,5.99,19.72
8/20/2009,30.78,36.65,6.29,27.44
8/21/2009,43.18,38.34,8.73,32.05
8/22/2009,49.65,38.41,7.46,31.63
8/23/2009,29.47,23.64,5.69,20.58
8/24/2009,29.02,23.46,6.37,15.63
8/25/2009,32.68,28.01,7.14,20.28
8/26/2009,29.15,27.35,6.55,16.61
8/27/2009,44.52,41.29,9.12,33.78
8/28/2009,41.08,37.14,8.82,26.28
8/29/2009,34.68,33.48,7.44,18.61
8/30/2009,23.5,27.46,5.82,13.56
8/31/2009,16.6,34.98,6.45,18.44
9/1/2009,37.23,26.58,9.04,22.71
9/2/2009,35.1,32.8,10.45,27.29
9/3/2009,45.34,35.99,10.46,36.89
9/4/2009,38.91,31.69,8.58,31.79
9/5/2009,31.07,23.5,9.45,16.05
9/6/2009,21.63,23.52,9.79,16.26
9/7/2009,25.56,24.69,9.5,15.79
9/8/2009,26.8,28.13,9.64,17.79
9/9/2009,36.16,35.44,10.63,22.11
9/10/2009,44.6,38.62,10.66,28.11
9/11/2009,41.44,39.32,12.22,21
9/12/2009,36.16,33.64,9.88,16.74
9/13/2009,35.67,35.21,10.07,16.95
9/14/2009,33.06,31.85,8.76,15.47
9/15/2009,27.33,32.64,8.38,15.53
9/16/2009,27.23,29.51,8.26,13.95
9/17/2009,27.59,23.78,10.87,12.95
9/18/2009,35.89,26.81,8.38,16.56
9/19/2009,44.86,25.72,8.4,15.44
9/20/2009,29.77,21.58,8.75,13.28
9/21/2009,30.96,28.73,15.06,17.83
9/22/2009,57.3,36.37,12.94,44.11
9/23/2009,58.61,40.18,13.67,46.53
9/24/2009,72.41,41.48,16.95,49.74
9/25/2009,56.54,31.14,11.12,27.68
9/26/2009,46.89,30.41,11.38,23
9/27/2009,51.53,27.79,7.96,22.84
9/28/2009,45.69,28.56,8.81,26.05
9/29/2009,65.01,32.13,12.03,29.58
9/30/2009,67.43,33.04,12.4,22.16
10/1/2009,62.53,32.34,13.1,25.41
10/2/2009,46.23,29.15,8.77,18.01
10/3/2009,41.7,26.28,8.47,15.48
10/4/2009,47.73,31.35,8.11,19.16
10/5/2009,55.2,31.54,11.81,32.88
10/6/2009,58.04,35.99,13.56,46.51
10/7/2009,59.5,37.69,14.54,45.46
10/8/2009,58.47,39.41,13.25,35.6
10/9/2009,68.49,36.33,12.65,38.73
10/10/2009,67.77,27.29,10.57,24.49
10/11/2009,51.94,20.87,7.33,16.07
10/12/2009,24.83,23.61,7.41,17.44
10/13/2009,43.67,20.29,6.35,15.37
10/14/2009,35.4,19.31,8.12,17.98
10/15/2009,45.07,21.77,11.14,22.47
10/16/2009,40.04,24.65,10.74,20.88
10/17/2009,59.6,23.75,14.85,23.85
10/18/2009,30.63,20.7,7.92,15.94
10/19/2009,34.59,22.57,8.2,19.57
10/20/2009,56.49,27.55,16.01,22.97
10/21/2009,62.83,35.17,16.8,38.48
10/22/2009,33.43,25.69,11.46,17.85
10/23/2009,33.87,22.43,9.38,19.12
10/24/2009,37.84,19.87,9.04,18.92
10/25/2009,39.01,22.68,8.4,20.68
10/26/2009,47.46,22.98,9.35,20.2
10/27/2009,53.29,18.48,8.85,20.99
10/28/2009,40.2,18.45,10.05,20.79
10/29/2009,46.99,20.68,9.38,19.44
10/30/2009,42.69,20.21,7.47,19.79
10/31/2009,34.79,20.26,7.42,22.27
11/1/2009,84.77,25.26,17.41,22.72
11/2/2009,46.31,22.39,12.91,15.59
11/3/2009,37.93,21.1,9.2,16.06
11/4/2009,42.17,21.92,12.92,15.44
11/5/2009,37.96,22.86,14.88,17.44
11/6/2009,36.4,25.35,12.02,14.65
11/7/2009,42.59,26.24,11.51,24.18
11/8/2009,43.39,25.06,10.21,19.94
11/9/2009,35.03,27.33,12.52,27.35
11/10/2009,29.26,20.64,10.11,15.13
11/11/2009,22.59,19.9,9.03,15.76
11/12/2009,46.01,25.07,12.18,32.82
11/13/2009,80.77,33.71,21.26,67
11/14/2009,103.1,36.28,22.09,78.69
11/15/2009,41.54,29.37,15.23,31.12
11/16/2009,83.74,35.91,20.84,77
11/17/2009,75.59,34.85,17.12,51.31
11/18/2009,91.5,41.48,18.14,65.31
11/19/2009,93.13,39.99,17.11,54.94
11/20/2009,125.61,47.05,19.54,70.6
11/21/2009,119.37,46.87,20.23,54.67
11/22/2009,78.31,35.85,14.13,23.2
11/23/2009,100,37.37,19.76,36.07
11/24/2009,127.2,40.72,24.14,69.87
11/25/2009,103.84,40.82,23.23,54.27
11/26/2009,110.46,43.69,23.03,64.33
11/27/2009,101.63,39.73,26.96,63.82
11/28/2009,51.34,38.4,17.15,26.35
11/29/2009,42.81,41.32,15.24,19.82
11/30/2009,43.37,38.79,15.24,15.5
12/1/2009,19.93,18.78,9.43,12.69
12/2/2009,25.21,19.95,8.72,15.38
12/3/2009,42.41,17.94,10.58,18.13
12/4/2009,51.86,19.47,14.17,17.32
12/5/2009,38.05,16.15,9.63,16.53
12/6/2009,49.78,19.94,10.11,18.74
12/7/2009,80.49,19.3,19.37,26.25
12/8/2009,76.74,18.19,15.01,23.02
12/9/2009,25.86,19.35,16.13,21.69
12/10/2009,52.83,23.99,12.51,20.69
12/11/2009,49.26,29.99,14.75,20.39
12/12/2009,31.85,22.5,11.06,15.66
12/13/2009,35.2,24.68,13.2,15.84
12/14/2009,39.49,23.11,18.13,18.21
12/15/2009,40.13,19.04,30.23,14.72
12/16/2009,48.73,21.21,15.82,17.43
12/17/2009,69.81,22.2,18.49,17.42
12/18/2009,68.06,23.01,20.7,20.97
12/19/2009,95.86,23.85,27.15,26.63
12/20/2009,84.06,23.04,30.33,26.71
12/21/2009,101.3,49.31,45.36,34.99
12/22/2009,41.07,20.94,27.26,14.82
12/23/2009,45.66,22.73,22.21,26.53
12/24/2009,38.16,19.65,18.32,15.34
12/25/2009,32.07,21.68,17.37,23.27
12/26/2009,20.03,19.2,13.43,16.27
12/27/2009,18.18,18.27,11.78,12.76
12/28/2009,52.72,29.58,18.31,38.75
12/29/2009,92.82,31.19,30.75,45.49
12/30/2009,53.03,29.45,20.16,28.25
12/31/2009,24.4,30.23,17.57,24.09
1/1/2010,25.58,12.92,8.34,12.57
1/2/2010,19.15,9.85,5.42,11.57
1/3/2010,12.03,9.74,5.45,12.71
1/4/2010,29.55,19.75,13.62,16
1/5/2010,20.48,13.84,8.56,12.5
1/6/2010,24.37,16.22,10.59,13.64
1/7/2010,46.03,15.21,12.46,15.57
1/8/2010,41.95,14.43,12.11,14.71
1/9/2010,22.78,14.17,8.04,13.29
1/10/2010,26.2,19.12,9.22,16.86
1/11/2010,34.28,19.01,16.18,20.64
1/12/2010,72.13,31.76,24.77,45.86
1/13/2010,77.28,26.22,20.75,32.93
1/14/2010,59.6,22.27,21.37,21.93
1/15/2010,68.18,20.12,22.31,27.14
1/16/2010,54.45,17.44,17.86,19.64
1/17/2010,35.18,15.29,15.72,16.07
1/18/2010,44.7,17.79,18.55,22.79
1/19/2010,53.18,18.12,16.82,20.29
1/20/2010,49.53,21.94,18.65,22.33
1/21/2010,46.48,20.3,19.23,21.08
1/22/2010,51.43,22.23,28.28,24.15
1/23/2010,82.13,24.66,25.54,27.54
1/24/2010,94.2,23.12,30.35,26.08
1/25/2010,75.83,23.76,27.86,20.31
1/26/2010,66.7,25.58,22.16,20.29
1/27/2010,64.8,25.73,40.54,16.64
1/28/2010,104.36,27.14,33.75,21
1/29/2010,145.38,35.88,45.38,38.07
1/30/2010,35.8,19.22,21.59,11.21
1/31/2010,41.1,25.21,19.55,11.71
2/1/2010,34.74,24.08,17.03,14.38
2/2/2010,80.1,29.56,25.06,24.13
2/3/2010,59.43,29.66,21.41,23.75
2/4/2010,95.14,32.62,24.84,32
2/5/2010,71.44,20.11,20.6,13.06
2/6/2010,30.49,14.81,10.68,11.94
2/7/2010,39.1,15.91,10.88,12.27
2/8/2010,62.86,17.11,14.64,15.27
2/9/2010,88,24.94,22.66,19.33
2/10/2010,45.14,16.19,23.31,14.5
2/11/2010,47.76,18.93,16.2,16.67
2/12/2010,67.07,19.48,16.73,20.27
2/13/2010,44.79,13.89,13.71,14.93
2/14/2010,117.22,25.3,20.26,30.93
2/15/2010,101.53,22.93,16,31.87
2/16/2010,172.83,38.92,34.18,46.06
2/17/2010,64.1,21.01,18.73,19.27
2/18/2010,105.23,32.41,21.06,60.63
2/19/2010,30.54,21.82,15.13,16.88
2/20/2010,36.29,19.94,8.67,14.19
2/21/2010,31.57,17.99,9.28,13.69
2/22/2010,36.94,18.82,11.34,15.75
2/23/2010,21.3,16.32,10.01,18.56
2/24/2010,33.65,22.18,14.45,23
2/25/2010,33.63,19.81,12.94,28.47
2/26/2010,29.8,20.98,12.34,27.18
2/27/2010,13.6,20.31,7.59,21.12
2/28/2010,27.28,19.27,9.12,17.71
3/1/2010,62.9,25.16,16.53,32.27
3/2/2010,45.36,18.36,10.81,12.31
3/3/2010,151.27,18.13,10.83,13.5
3/4/2010,40.91,16.56,11.48,12.27
3/5/2010,30.5,15.68,10.35,12.67
3/6/2010,39.24,15.82,14.69,13.81
3/7/2010,61.67,19.76,19.93,22.63
3/8/2010,42.47,15.87,22.86,16.69
3/9/2010,23.36,11.82,10.83,13.56
3/10/2010,28.87,10.89,9.84,13.41
3/11/2010,42.08,16.31,16.74,23.94
3/12/2010,58.3,20.05,16.07,26.25
3/13/2010,49.87,18.53,13.45,26.75
3/14/2010,38.3,18.76,11.49,21.38
3/15/2010,26.89,16.44,10.96,19.19
3/16/2010,30.56,16.06,11.86,18.56
3/17/2010,42.81,17.51,14.18,24.33
3/18/2010,74.89,30.92,22.55,37
3/19/2010,82.29,37.81,29.43,44.86
3/20/2010,51.54,32.02,20.19,29.43
3/21/2010,52.06,24.14,12.77,25.86
3/22/2010,38.07,20.37,8.05,15.36
3/23/2010,34.6,14.78,8.71,13.07
3/24/2010,43.27,20.02,23.85,15.64
3/25/2010,42.71,18.69,12.45,15.2
3/26/2010,32.49,13.49,7.93,11.2
3/27/2010,22,14.57,7.89,10.07
3/28/2010,14.4,15.22,5.84,11.07
3/29/2010,21.23,19.22,12.42,16.33
3/30/2010,23.1,21.51,9.84,15.4
3/31/2010,21.83,19.39,9.54,12.69
4/1/2010,26.98,20.82,8.01,13.81
4/2/2010,23.8,15.54,9.48,15.44
4/3/2010,23.1,15.62,8.2,13.81
4/4/2010,25.17,15.69,8.57,16.13
4/5/2010,14.15,14.82,6.63,13.63
4/6/2010,12.2,15.75,5.94,12.2
4/7/2010,31.18,18.19,7.86,14.88
4/8/2010,48.78,24.32,12.16,22.94
4/9/2010,55.87,28.58,12.44,26.35
4/10/2010,34.8,20.21,9.26,17
4/11/2010,23.52,16.91,7.96,13.12
4/12/2010,16.6,18.73,8.07,14.94
4/13/2010,22.12,16.37,8.53,12.81
4/14/2010,16.82,17.65,8.36,14.56
4/15/2010,30.07,21.95,8.71,16.5
4/16/2010,44.97,24.81,10.62,20.69
4/17/2010,38.68,24.52,10.09,17.94
4/18/2010,27.5,17.77,7.63,13.5
4/19/2010,26,20.13,7.75,15.94
4/20/2010,31.73,21.16,8.23,17
4/21/2010,40.96,26.96,9.33,23.94
4/22/2010,27.58,21.82,8.27,17.88
4/23/2010,28.74,18.28,8.93,17.94
4/24/2010,33,19.11,9.21,19.12
4/25/2010,36.78,19.53,9.34,17.88
4/26/2010,24.98,13.12,6.99,14.12
4/27/2010,22.26,12.85,6.93,13.24
4/28/2010,23.05,22.1,9.19,16.18
4/29/2010,35.45,24.65,7.41,21.59
4/30/2010,42.88,33.76,13.69,24.65
5/1/2010,45.22,32.97,9.09,30.18
5/2/2010,34.8,24.96,7.88,23.32
5/3/2010,44.07,22.03,7.81,25.53
5/4/2010,35.73,16.83,7.69,21.74
5/5/2010,29.15,18.86,5.4,19.68
5/6/2010,21.12,16.42,7,16.76
5/7/2010,17.62,18.41,6.85,18.63
5/8/2010,18.53,16.58,5.26,21.54
5/9/2010,20.45,20.99,7.51,20.04
5/10/2010,32.54,24.46,8.22,25.07
5/11/2010,30.16,22.8,6.64,28.47
5/12/2010,24.58,21.79,5.84,21.2
5/13/2010,21.56,22.78,8.91,23.8
5/14/2010,20.73,22.31,5.73,26.14
5/15/2010,12.32,15.82,7.96,21.82
5/16/2010,7.1,10.19,7.66,10.55
5/17/2010,10.62,13.22,5.36,12.37
5/18/2010,16.18,15.18,5.64,13.26
5/19/2010,19.2,18.5,5.96,17.64
5/20/2010,16.5,15.39,5.85,17.79
5/21/2010,22.63,16.57,5.12,16.04
5/22/2010,18.17,15.54,5.89,14.13
5/23/2010,21.23,18.04,5.99,15.27
5/24/2010,31.15,22.55,9.9,16.74
5/25/2010,27.9,24.05,9.5,17.54
5/26/2010,28.37,27.23,8.41,19.62
5/27/2010,23.52,26.43,8.35,17.95
5/28/2010,17.2,23.54,6.61,14.72
5/29/2010,30.65,21.14,6.37,18.61
5/30/2010,12.13,20.12,5.83,14.88
5/31/2010,7.13,21.14,5.89,16.88
6/1/2010,10.36,14.02,6.79,13.13
6/2/2010,8.86,17.14,6.86,13.5
6/3/2010,17.82,22.4,7.32,14.88
6/4/2010,12.5,17.43,7.09,12.41
6/5/2010,15.56,16.48,5.54,14
6/6/2010,26.22,22.38,5.91,15.71
6/7/2010,29.82,23.71,6.27,12.27
6/8/2010,41.6,30.59,7.2,16.07
6/9/2010,35.4,30.69,7.18,16.79
6/10/2010,40.12,22.67,5.94,18
6/11/2010,32.94,22.69,5.14,18.38
6/12/2010,48.4,24.46,5.81,20.69
6/13/2010,48.13,20.94,5.61,16.62
6/14/2010,47.75,23.59,5.67,16
6/15/2010,26.04,18.48,4.74,13.6
6/16/2010,35.76,21.98,5.21,18.33
6/17/2010,22.45,21.83,4.01,12.87
6/18/2010,26.43,17.86,4.09,13.06
6/19/2010,18.43,20.13,5.33,14.31
6/20/2010,19.55,19.97,5.04,12.25
6/21/2010,17.68,18.68,4.99,13.06
6/22/2010,8.22,15.27,5.02,12.88
6/23/2010,15.54,18.46,4.98,12.24
6/24/2010,16.78,20.03,5.42,14
6/25/2010,17.72,21.73,5.19,16.71
6/26/2010,13.26,15.79,4.79,13.88
6/27/2010,15.02,15.18,4.76,13.5
6/28/2010,17.12,16.98,4.98,14
6/29/2010,21.6,19.69,5.36,14.44
6/30/2010,21.6,21.65,5.06,15
7/1/2010,23.22,22.99,5.48,11.76
7/2/2010,30.82,28.47,5.23,12.88
7/3/2010,27.72,22.21,5.76,12.18
7/4/2010,15.54,21.22,5.74,10.59
7/5/2010,19.14,28.79,5.68,12.71
7/6/2010,23.57,22.73,5.37,11.13
7/7/2010,17.5,18.73,5.28,12.24
7/8/2010,18.64,20.68,5.89,12.53
7/9/2010,23.2,22.46,6.75,15.53
7/10/2010,25.48,19.61,6.4,13.82
7/11/2010,25.78,19.58,6.04,13.88
7/12/2010,27.98,21.84,6.11,14.94
7/13/2010,33.4,22.88,5.95,13.87
7/14/2010,35.3,25.78,5.49,11.2
7/15/2010,42.55,26.35,5.67,12.06
7/16/2010,47.03,27.84,6.28,14.24
7/17/2010,35.38,22.33,5.98,9.47
7/18/2010,23.54,16.43,5.78,9
7/19/2010,18.32,15.13,6.36,9.71
7/20/2010,29.86,17.68,5.63,13.41
7/21/2010,51.34,24.19,6.13,20.36
7/22/2010,54.06,24.22,6.67,22.21
7/23/2010,72.98,30.59,12.81,25.33
7/24/2010,30.52,16.33,7.41,11.6
7/25/2010,7.06,11.91,5.84,9.87
7/26/2010,11.92,13.96,6.09,10.79
7/27/2010,14.34,15.33,6.43,10.64
7/28/2010,19.3,16.68,6.99,10.81
7/29/2010,19.24,19.49,8.99,11.19
7/30/2010,16.74,17.74,6.69,11.69
7/31/2010,20.6,14.35,6.22,9.88
8/1/2010,17,14.18,6.98,8.31
8/2/2010,31.16,19.23,6.73,8.94
8/3/2010,38.32,21.79,6.79,13.94
8/4/2010,12.68,17.7,6.24,9.47
8/5/2010,27.78,19.27,8.04,10
8/6/2010,33.52,19.44,7.54,9.88
8/7/2010,12.86,14.87,6.69,9.63
8/8/2010,13.7,14.84,6.61,10.56
8/9/2010,15.32,20.61,7.25,10.13
8/10/2010,21.86,20.99,7.18,10
8/11/2010,26.48,21.84,7.98,13.47
8/12/2010,38.94,26.01,8.51,14.31
8/13/2010,74.18,25.43,4.68,10.5
8/14/2010,39.48,20.26,7.55,11.06
8/15/2010,79.08,19.89,6.19,10.44
8/16/2010,39.26,22.52,6.36,10.56
8/17/2010,22.3,23.23,6.64,10.06
8/18/2010,23.42,23.37,6.19,12.13
8/19/2010,34.96,26.6,7.93,13.63
8/20/2010,25.38,24.84,6.69,12.31
8/21/2010,28.07,22,6.85,12.06
8/22/2010,37.05,29.27,8.29,11.38
8/23/2010,35.43,29.7,8.19,11.38
8/24/2010,37.8,30.49,8.89,14.06
8/25/2010,26.62,23.31,6.51,11.53
8/26/2010,30.18,25.54,7.33,12.35
8/27/2010,33.64,26.69,8.13,11.81
8/28/2010,25.16,21.44,6.38,10.63
8/29/2010,24.08,19.89,6.21,10.31
8/30/2010,20.68,23.88,7.66,9.94
8/31/2010,7.82,22.68,6.39,10.63
9/1/2010,10.46,17.71,6.24,12.06
9/2/2010,20.77,22.65,6.88,15.19
9/3/2010,28.26,27.39,8.68,15.25
9/4/2010,25.62,23.95,9.16,11.13
9/5/2010,25.1,23.92,7.52,13.06
9/6/2010,23.1,21.77,7.61,13.19
9/7/2010,32.58,22.97,8.36,15.4
