RowNumber,id,sobrenome,pontuacao_credito,estado_residencia,genero,idade,nivel_estabilidade,saldo_conta,numero_produtos,possui_cartao_de_credito,membro_ativo
45,9694900ca324dcdfc40ec2d0d862631c07898c7d,640408d8d99c87b90d5eae04127a70647207f94a,660,RS,F,61,5,155931.11,1,1,1
46,bb42d240534ef8b417e52f730737bc303bd0fc72,c794bd35db97c1cf0b8edc21ac218cd202f68ca7,776,PR,F,32,4,109421.13,2,1,1
47,cf88ac17b29073b62e32fc49efefad3a9e05978b,7347fd3b86c52be283f3ca0bb60ae91abe5f3069,829,PR,F,27,9,112045.67,1,1,1
48,7f59a95708fae4971f00a8370d54cc4d7475ff67,86512239983b3b5c5bc0cc9437fff971bfb61c53,637,PR,F,39,9,137843.8,1,1,1
49,b22818e3a916c580f5c4e71d68d374d25b3476f9,f709b04e0f1e92add237f9a6d6157ae92a64e515,550,PR,M,38,2,103391.38,1,0,1
50,f28292dbeb8b788d4299150fa4527bc57d6418b6,ed0778c98142f4d6c4fe266319bbc170e2b28ac9,776,PR,F,37,2,103769.22,2,1,0
51,818d8df02268036710170fd9827d99d5f2923c29,a0a8f648bc6f838f640223de1d1dacaf04eba599,698,PR,M,44,10,116363.37,2,1,0
52,7a78998ddaa89269f317fad715f7dc68a671558e,28267bcc9620ccdeec06844486fe39b8c30dcaa6,585,PR,M,36,5,146050.97,2,0,0
53,9cbeaa937ea7f21bcb5229bc89d1ec59c6dd377c,b8207e900820fb79561a3a93d5de78d9241a035c,788,SC,F,33,5,0.0,2,0,0
54,ea80e44a620379e2cfefd015735dc2235f3a364d,d9fbf6f612da64339c5dd589d057d5630b0b4bc1,655,PR,M,41,8,125561.97,1,0,0
55,33b2473ae444d88a540309ead3b967696519c0ce,389c90403bf2757f6bb2d4d356788e20a391221b,601,PR,M,42,1,98495.72,1,1,0
56,fcaa166bb837cea03b7c4042b35e399517cfd6b7,82dc96c5276ef4004268b273a69e114e93e06624,619,SC,M,43,1,125211.92,1,1,1
57,5dd4aaba1552c57976010cf4d3d76f889c676ff4,6d4696f3893f69f2353de08c384a064fe920753b,656,SC,M,45,5,127864.4,1,1,0
58,90d2f4e4f14b36a5faaa9bfd89977d61f967e0e8,20f97762baf983d79e747073e559ae3dc37d81c1,725,PR,M,19,0,75888.2,1,0,0
59,f7e506ac9b91b250c469c795cdb5d29f5282b339,8da4f37f4aef0aa4bb5a4443291dff3c89425cda,511,RS,F,66,4,0.0,1,1,0
60,e2b8bc9ec5a9e27fa13c8dfc2cfe0045d29dd96e,70ab04fd9d2cc5d7143bfcad5fbc6da67bf16772,614,SC,M,51,4,40685.92,1,1,1
61,57e29c69c04219eb5a39d148c55e59df7a924c06,147847d73ee819cfcbfaf4e907ce7370654b8248,742,PR,M,35,5,136857.0,1,0,0
62,693d26dbccd82bcfd775903dc506e52389e73cc1,9a5b2c87e8eb60f2692c28bde686b0a7661f3232,687,PR,F,27,9,152328.88,2,0,0
63,cc8d2775d13c3f5718b84dab471570a4a0bc8f98,72886a8e7d21c637750593e98faf71cf54e683d1,555,RS,M,33,1,56084.69,2,0,0
64,73282abd174017668b913369ab9aee37e18712c1,1b38d5415a8089bd7bed071cd313e8aab1342a2a,684,RS,M,56,8,78707.16,1,1,1
65,02aa02ffee6dd3409e24c1b9edf2bf1aca61b47c,f1ed159a2cabb9ff836d38b5f7192badaa2849a5,603,PR,M,26,4,109166.37,1,1,1
66,06acd3bf02601b144831aa9405f1e5f5486047a8,2eea617131b50244c721d5f91f20f3c8c5328a51,751,PR,F,36,6,169831.46,2,1,1
67,d49bc944edd37d0a77c81d4374c8c216f5a13ed5,8f9eccf65e7fdb62600440dc5fcf4d0f75378a4c,581,PR,F,34,1,101633.04,1,1,0
68,310c3639099bad8a7e87bdb2c3d444d677116b8a,221f70ba06ea00ec328e68f4ed952d57c9323a61,735,PR,M,43,10,123180.01,2,1,1
69,020296619f8eeec09c96674c515a7b8509e1d15d,42d188150ddc5a58a83dd8150c77a7fe5e449733,661,PR,F,35,5,150725.53,2,0,1
70,5fa49a559cd36d278520def337bc99ec7d4df739,95330bf83ae7c9bce92bc4fc5a560816b49a8a01,675,SC,F,21,8,98373.26,1,1,0
71,efb3b673ebdd3bb0d5e3f5dd6f399275b9394f9e,56dc6d9bc2ca0bee5a26fbc2b97f39a0de7b9434,738,PR,M,58,2,133745.44,4,1,0
72,242df16b2c36709c05300597d0bc5bf72e6f300c,b016b4650eb3ad6115df5534fd272893e497e60a,813,SC,M,29,6,0.0,1,1,0
73,c6e18b7f6d36bc7e87566182854af01f33cf69ce,90f07c59b6119cb3f03cf57a4f12d092b761e4e9,657,RS,F,37,0,163607.18,1,0,1
74,06b1f9970c46e92a1edc23d58b04eee47e2b4ebd,797c6d9bb037e135a17a9069fc8776d75b2feb85,604,PR,F,25,5,157780.84,2,1,1
75,bb40e9d647b1db69d857aa4e3392d1429857a372,b3aee9d351b3547305ecb3fc02c8dfd84df8150b,519,SC,M,36,9,0.0,2,0,1
76,b6ff82f4603fda7b61c99931e65d10e2d48dd3df,99c53cb03542adee1eda20407b00adb8b1425dd7,735,SC,F,21,1,178718.19,2,1,0
77,5dcbaadfa0c84c00bca5626722cc7680730cb879,c00340528b1123868d94af23636c7e2e86027c21,664,SC,M,55,8,0.0,2,1,1
78,ee980c09d27381a3980c43cdad4df79a424c6457,852b438f91ad9eb2cdd84419a675a216d543c687,678,SC,F,32,9,0.0,1,1,1
79,ce00734ce6b23655fb8b217f94d439692fb8f8ec,9c4075d514ebc36f540a99ac313279862746af26,757,RS,M,33,5,77253.22,1,0,1
80,05d50d3da703ea014864fad5d2f16b168f633b2f,0b2f6ded0ad99836eb4ea1b2ca8d135d9ce72cf0,416,PR,F,41,10,122189.66,2,1,0
81,c25bbbb5077e4de5b7a5e577b1f986e4ce236286,ba0dae88e0b7a34d32d74c8833d945fe075fa15a,665,SC,F,34,1,96645.54,2,0,0
82,75582f03100799a46d0075275bed17598460fe29,8be322bc0de44cd5a05f62ef9a8e5770f77b8a8c,777,SC,F,32,2,0.0,1,1,0
83,42eff4cecd9804b055c9be7c6a8adad19578d27c,db20272508b53228c49b9ae09e50796caa60c52b,543,SC,F,36,3,0.0,2,0,0
84,4268836dfe7d856629c4d6895e54ce128c50f503,849cada9973ef89ede2b24db871fa35460adf925,506,SC,F,34,4,90307.62,1,1,1
85,ae49663742f3fa97c2300478cb73b0b51275d01a,8935720383be7d5b0190f5df2c0a6b3afa5869f6,493,SC,F,46,4,0.0,2,1,0
86,9bb3b5e9cea94041ae93b568ecf8c6a6f4551527,0f60ec19367dcddba0239c59f91b7bb453be66d3,652,RS,F,75,10,0.0,2,1,1
87,e7fe028c16f41dffc25af58310014d7ac7ff52bf,6550d23db3cf2782d8f33167ecdcc6ff5ef0a4ac,750,RS,M,22,3,121681.82,1,1,0
88,ac41fff01210128ab2a65074992e7beedb42ae6e,5e2631f4ca772fc946157a9f9281d6ba5c8bba9f,729,SC,M,30,9,0.0,2,1,0
89,1025275488300f6d71eded2eb82e40f40a6b1745,8822461f78f43469418f744326f58cb339db5c31,646,SC,F,46,4,0.0,3,1,0
90,6425e18e4ce028055b3b0b7a2fd882a90bb3acbe,187363bac855a9d626bda56c98451555a0835f60,635,PR,F,28,3,81623.67,2,1,1
91,bdcbfc956ef1d8f18ed51d63bd1bf205ff255553,977169a2f56615065497cd1735f54129679d50ec,647,RS,F,44,5,0.0,3,1,1
92,e6a3590aa4a6a940f8f366e645f59a0912d880c4,8e72f5dd9c421a2037bf630ab9695d79be18c61f,808,SC,M,45,7,118626.55,2,1,0
93,c9b27dc2a893d596ca1785d880bd53f3fe91a0a0,e68ae280e839033cf51f2156896e8b9b2f2c1221,524,SC,F,36,10,0.0,2,1,0
94,3331c37b8097ef216ec0bca65bca8c7db1d5c1c4,14616ea3386bf38becba5c24ce3ed28c53cd2d6d,769,SC,M,29,8,0.0,2,1,1
95,b0a8ea7868f2bcca5ec7d04874b6f71f5e6408a1,14616ea3386bf38becba5c24ce3ed28c53cd2d6d,730,RS,M,42,4,0.0,2,0,1
96,182bff59b8d8ad2e09c9dc0492586cfb5f2bf3c0,17b36a252f28a7cc909678dfa24861821995721f,515,RS,M,35,10,176273.95,1,0,1
97,fcea445299f2847d4b1f9a29f0b361e398af1383,4693463940afaddeca1e3a8b3a3db1605833a042,773,RS,M,41,9,102827.44,1,0,1
98,fd000f80f25201604827e01d63a5bc7081f01886,23bb824fa9d465bd3cb2139ec7075a2538fbea06,814,PR,M,29,8,97086.4,2,1,1
99,96056a1e418ba7d32c4d5be4f7f541dd5ccba338,6fe9d30d12ac465cb4ea630f9560269a24fe15e1,710,RS,M,22,8,0.0,2,0,0
100,c8ffb9f26127b8c4e4e15e73c1f1d6fa062b5366,5d09149fa300a5f6b714f9900fa0bd9650e31061,413,SC,M,34,9,0.0,2,0,0
101,4b7533afece6615227b574c6165a1080bb076f76,531edb6e308ee9dfa30c7829bc5f9ea4278d9f20,665,SC,F,40,6,0.0,1,1,1
102,957de260bd57fb5f53ca9905fe31e84cf1bc9c39,2a988ad24bfd243ae210f81ad1385f3b831a16bf,623,SC,F,44,6,0.0,2,0,0
103,59275f826f05bf670fd2bd86e15c878c97a80c0e,2a988ad24bfd243ae210f81ad1385f3b831a16bf,738,SC,M,31,9,82674.15,1,1,0
104,6d928fd7675af5f17eadb85940bee079f8cb0384,d8ee2858b4ff4a900a28a0dfd9c176188bb95c35,528,RS,M,36,7,0.0,2,1,0
105,d6d9d3cc7b14cd77808441d71d8bf312a6359e08,cd25a11978f95d61c61dc9b1359a0c6fec274902,670,RS,F,65,1,0.0,1,1,1
106,cbaf103061f7ebd8bb511ed9245f403305d41050,851d5edc43d1bf3407b24ffb063ac1d847aef973,622,RS,F,46,4,107073.27,2,1,1
107,061c849a84c0da6f5691e45bfc78569f01030666,4a22650a348373423dbf82d048843ae83f3adf36,582,PR,M,32,1,88938.62,1,1,1
108,33b3269bc96cc5c12241bf6d24ad90e4560ce944,97f9ed6981e36a19514065079b003a802505984c,785,PR,F,36,2,99806.85,1,0,1
109,bae667676c349fbb8c5ccfa465b98190648d141f,c9f94901f2f725129e97fbb249cadb5142841dab,605,RS,M,33,5,150092.8,1,0,0
110,3a773ce4343bc879de014082deefe6ab39978c09,962fa610d1591e170ad753f652ba99806b0197c1,479,PR,M,35,9,92833.89,1,1,0
111,2f07e1e2b1d57fce6bf54f9069f9ea7893172cf0,4e8f48b322428aac3e4d45904cebe0e2878c87be,685,PR,M,30,3,90536.81,1,0,1
112,5551b8f0fe6cc1a7ec3d1493f58508570957b029,6efad3baa1ec93e3a6d92cd79bd5698b8743b10f,538,PR,M,39,7,108055.1,2,1,0
113,d734ba7a2234f605cd8237de1536afc38f2b32b1,68979045def5d4e26a103c3a295f66e70114993e,562,SC,M,42,2,100238.35,1,0,0
114,6e1873b429a73a7592e6c592f95d878d6d61098f,3d4dd01d2bc4653a4dd07124b25d33f60b870c6f,675,RS,M,36,9,106190.55,1,0,1
115,b95abcfcf5062c05e71daf57e2610e667cb505a3,5d09149fa300a5f6b714f9900fa0bd9650e31061,721,PR,M,28,9,154475.54,2,0,1
116,b4fb1b77b7ddcc34e93d7f2980ba0e5eb2f07373,d7f41e2825e232f9c1b103392bd3cdb1cb632b3b,628,PR,F,30,9,132351.29,2,1,1
117,1bf5eed6342bafa97a0be04286838dba080db92e,5c4ed510fef54a63a2211ca47d5c82736de69418,668,PR,F,37,6,167864.4,1,1,0
118,c5392d43f82c5158b0e778a21e12ea75d1cc9cbd,5e75921cdd2d998fe5e711bfb73767463ca154ae,506,SC,F,41,1,0.0,2,1,0
119,eb381a1804902055ee4c1631b190a9071ee4eca1,83e4649d45b7c65137e0cfbfe744209b72582d0c,524,PR,F,31,8,107818.63,1,1,0
120,e4fa8a1dcfc687d42077bb4b23cf7c12f7dc27e0,53068bce430b03b156af6eeabc4b25b20c09f53d,699,PR,M,34,4,185173.81,2,1,0
121,6ec6e0b4c1617a96cb46c60e2c7d7b4332d72425,674ba28497d3d9636b403403eeb517e18ba238a1,828,SC,M,34,8,129433.34,2,0,0
122,63463eeaeded2f8a87a1763c41ca6a1e216b4d0c,69558227b8190e8dfdf8d35f12c5286dde130a65,674,RS,M,39,6,120193.42,1,0,0
123,f9fc642571a16c9ecb12e911c2907242ca5a5b6f,9ef50458985ec73d89602aa848e0eb12b2b335a2,656,SC,F,39,6,0.0,2,1,0
124,e1357afb5ae00ff49c237baa02b5060b4a0b1810,87922a99e6ff74e57e4d8df1d78a796111bd46cd,684,PR,F,48,10,126384.42,1,1,1
125,b10f1b86c3f17682037fc59d5939da9ad3ec2006,06072833619a160676db93bf45a8c3a113307fff,625,SC,F,28,3,0.0,1,0,0
126,ef26ec8f4e6b87cd6f4f88f52b1cdfc2c5914397,2b550e31c54f928e1dbbd480217114c8c5c61d1e,432,SC,M,42,9,152603.45,1,1,0
127,418e589fb1165f856ad2318eeb860a010f51370a,3c4f8ea4b8b21f5729363c836cc0ddfc21ea2641,549,SC,F,52,1,0.0,1,0,1
128,ab7741f684a5293699379c1be8e4bc19d0b8c281,65ca92f386f8d79c26a14e9ad3a8d5ea8385fbc4,625,PR,M,56,0,148507.24,1,1,0
129,874bcab65cd8ffc154e755006f7dedd23ff013d1,69558227b8190e8dfdf8d35f12c5286dde130a65,828,SC,F,41,7,0.0,2,1,0
130,35cf3b17037802d3fc4451a4b236919e37c2a529,1bebea5f04a2fc9c93b139c0eaa171b54161c47e,770,SC,M,24,9,101827.07,1,1,0
131,523659f6186dcf4bc87ad89eeecce90314b829a9,53a417796c777851003b3f2431e8eef5625ec15b,758,SC,F,34,3,0.0,2,1,1
132,c7ff2c60427963f3dc6932982ab5f3759aac7575,ddd61afdbc39ccad20295e6ca685cb9e08f5af98,795,PR,F,33,9,130862.43,1,1,1
133,68521294b420dc543db5abdfd335917fe50077a0,76694caf1a4ff5421e0eea9ab56cc6baf1766c68,687,SC,M,38,9,122570.87,1,1,1
134,fadbd8f7da14ce7932572c8500b322dda407db69,ce2efc9559f8c7b8d590373d3bcbc1da23615fd5,686,SC,M,25,1,0.0,2,0,1
135,d25a88fbf2cacd53ba103dfdeba2b2e6ea551879,b26d090c76fdca3b84c7f7449f91e89d55b4b8e9,789,PR,M,39,7,124828.46,2,1,1
136,2d3930eedb235294a266e81aafbbc2f4bcbb576f,8bae3f7d0a461488ced07b3e10ab80d018eb1d8c,589,PR,F,50,5,144895.05,2,1,1
137,ecfe8768a6de3b62c5b7ee02d2c26dc3c8cd0b23,842c642b00cf1f9168c0bc5932fc7dd30dd2d756,461,PR,F,34,5,63663.93,1,0,1
138,74619fe4ef535782e13ecfb4c7e23f7bed8d1a7d,49cba500f2b84206afa4b9ba65dafcac20ea4588,637,SC,M,40,2,133463.1,1,0,1
139,14f4ebc970bb7c4995889aac09e664070e4e60e0,9463bbf92f327b08be57ede042d32ad254f61251,584,RS,F,48,2,213146.2,1,1,0
140,14870aaac4dac1c7e7f74e5ef2ee64fd9c1a1532,dcc17135a530c8d0279c6c46b304d926873e2e04,579,RS,F,35,1,129490.36,2,0,1
141,015e0dfc3e7c47ab1f0d90beb5470aaa4967b30d,245d1011639f9f5870ee9746e0cb2f7da7e16219,756,PR,M,44,10,137452.09,1,1,0
142,c0d31b3e26c59a9761b5d274f0a2845e5bf47e17,a6ea77f3c06e041ece8cf91618a8782535334762,663,SC,M,34,7,0.0,2,1,1
143,8a6b422b04b6bc26a31b169259bac3026c28768a,1ed93c3bf637b29ac31d68cdc38c2c00d8ab43c7,682,SC,F,43,5,125851.93,1,1,1
144,ad075696a526ad840b9f934d36ef8f901b358a1a,68f1a8a6de02deedb3aaca4481f36c4757371a6d,793,RS,M,52,2,0.0,1,1,0
145,5edad2c5e1bf5a5f82f46e1cc61a79628ec8e8b0,1e5fa75167de66d119ca333f8f872625ffbc5b30,691,SC,F,31,5,40915.55,1,1,0
146,7ac6a5aa14ff5dd998a47e7b8bd25ccbebe12986,3f303d42ee72756002e86cae506cd35d9b9d499a,485,RS,F,21,5,113157.22,1,1,1
147,e0caf10fd5c32efb20e825dddde158cfdabf660c,4b703982b2c5cbf543eb0fe2d518f89b39dbf176,635,RS,F,29,8,138296.94,2,1,0
148,73f8278130c1a3ad1b9ee06ee2f9d1d6473ffad2,3f6c6e7b6a0bd1132a31805c767d3272bdc7e1ef,650,SC,M,37,5,106967.18,1,0,0
149,9f9260fe1a0e8f05cd77b01571670b63b9452910,014d478a5c3270d3a691cc65be15065f3c4a32f5,735,SC,M,44,9,120681.63,1,1,0
150,a976cacea5efd7f05cc51e6545f14da12d78492b,9461882b13f9824216d812f40255235886cb183a,416,SC,M,32,0,0.0,2,0,1
151,cb9b9761d23b7e20640374e6619552b3440ef8c9,8e4408b475d63385a73aed2fe911dd9818e82fb5,754,RS,F,32,7,0.0,2,1,0
152,9f85bce84adf0393a561341e44c19fd5bc923f6e,ae37d2d7bfe4c9b619d9d15fa73ecd5e89855200,535,SC,F,48,9,0.0,1,1,0
153,7cd799bb85a5435f6e6bdacbba67fd3ea85c7ab1,bc6185e891d7bc8fb51b8aa753646bbea2683b05,716,RS,M,42,8,0.0,2,1,0
154,a29e7a4cab97681a050d66970f99d2e7f9f70fb3,af06467ee291f73171c81a7b7d5bd34259f05274,539,SC,M,37,2,127609.59,1,1,0
155,f4c82a1ec7e55e370b7c1d30805bbee1f4de1aab,1cf3a947ae16b14d73b6ef8307c618138cee340a,614,SC,F,43,6,0.0,2,1,1
156,ae91787adb3dbc483f7e2a9e136cbdf36ccb763e,6e962655f63f175dce39682c80d5ab1e1c772060,706,RS,M,57,7,0.0,1,1,0
157,5c2be90a5c517372210ee750480128acbee44b8b,842c642b00cf1f9168c0bc5932fc7dd30dd2d756,758,SC,F,33,7,0.0,2,0,0
158,c643b82748d6c11d9f070b9bf0fafa007ef306b6,0d3d976722eaa358c29e915c566c4a5d7b789811,586,RS,F,28,2,0.0,2,1,1
159,720b7463ebd50fc993ed7aed1221eaf76de82846,b3cfad417cfafd5dc602f95547d2bed7c540e8f8,646,SC,F,73,6,97259.25,1,0,1
160,582f3a8ed6644b32f5fd2cbaff66d890d4e90d91,245eeb6cef750d312bdb9c92960ffb3e7cca9ece,631,PR,F,33,4,123246.7,1,0,0
161,11cc67aaadc37d34cd05ead373fc99e6b1353ef8,30a7d72be5b626574ead6ee468c4e838061facff,717,RS,F,22,6,101060.25,1,0,1
162,752c34fc975ea522870c128dd1f428c6cc7e0285,a16f080ecc9aa4551521147d1a44aeb57e8b1a7a,684,SC,M,30,2,0.0,2,1,0
163,1b4b5aac7c40c556a6a97f8f41736f8bd86bd98b,33368442b14440039c16ebfb9c4353e00c3eb931,800,SC,F,49,7,108007.36,1,0,0
164,0d6027b5b867a6ebcc4cde2021883227852ab6bb,c00340528b1123868d94af23636c7e2e86027c21,721,RS,F,36,2,0.0,2,1,1
165,a57ca4125e9bc37968d55a7811431690326589e3,ee0bf9299cd6074fb73c35133947d0005ad3530e,683,RS,M,29,0,133702.89,1,1,0
166,0168884bb9bd0025ce568cdda8ce31edf85eed2e,c5763c2673e05f29d675563a8f2f533de1bc4f3b,660,PR,M,31,9,125189.75,2,1,1
167,49525f707f7922dfea9735231f2189ca2927aa53,4ccc6579e4ac1b31aa7d0f04a46660235f6cda8c,704,PR,F,24,7,113034.22,1,1,0
168,87af0e5e6ca8d68bbd529bb59ac13c3e5ac72e43,f5e2a4a2aad017e749913c9b548a92b75873b0be,615,RS,F,41,9,109013.23,1,1,0
169,79ab0cb9ced3b8e67782c51c8fa1e2309c71f9d0,a21d7d140c921c5e7020d9dff0a38d1622bb2916,667,RS,F,39,2,0.0,2,1,0
170,668669ed44d15fcf4e4146f42b2ebe1ec8c85c15,b3b5a34500ef7d93e37e3dc5b64a8085a5742ab1,682,PR,M,24,9,57929.81,2,0,0
171,135d15dead7fba35d8ba87cc2a98c4d93a15a7b9,8085469603a008fc8ab374b1a4b766baf6a1f77e,484,SC,F,29,4,130114.39,1,1,0
172,95dda134c8cbd49882dce30e728c649b7ec50f42,48c98cab7866e606328c99289ed24e339393b5ab,628,PR,M,27,5,95826.49,2,1,0
173,499895aff46a982e215b32f0dbc510e3f25e4bbc,ddde93846b9bcb0f4046109b59dbe8078ef97fec,480,PR,M,44,10,129608.57,1,1,0
174,94e55958f9c4df438a851062267e626f31c6e281,36249063380ece4f4fe2ff412ed4712c39d92cb3,578,SC,M,30,4,169462.09,1,1,0
175,2f0670e318919f82ed07da1e3ff8292d8af0a231,9fd7abdbb7d59c7917328f1f59c28ac6ab8f0c41,512,SC,M,40,5,0.0,2,1,1
176,9a2f17d20c4b845eae79d3ec6014fde76a9c262b,531edb6e308ee9dfa30c7829bc5f9ea4278d9f20,484,RS,F,35,7,133868.21,1,1,1
