iter	Passed	Remaining
185	1067	4672
186	1073	4668
187	1079	4660
188	1085	4656
189	1092	4655
190	1096	4643
191	1101	4635
192	1106	4627
193	1111	4618
194	1117	4614
195	1124	4612
196	1129	4602
197	1133	4592
198	1138	4584
199	1143	4575
200	1151	4577
201	1156	4570
202	1162	4563
203	1167	4555
204	1173	4550
205	1179	4545
206	1186	4546
207	1191	4537
208	1194	4522
209	1200	4516
210	1204	4504
211	1209	4496
212	1216	4495
213	1222	4490
214	1225	4476
215	1231	4469
216	1237	4464
217	1242	4457
218	1249	4456
219	1255	4450
220	1261	4445
221	1267	4440
222	1272	4433
223	1279	4433
224	1286	4430
225	1290	4421
226	1295	4411
227	1299	4398
228	1303	4389
229	1309	4384
230	1315	4379
231	1321	4374
232	1326	4367
233	1331	4357
234	1335	4347
235	1341	4343
236	1344	4329
237	1349	4321
238	1355	4314
239	1359	4304
240	1364	4296
241	1369	4288
242	1375	4284
243	1380	4278
244	1386	4274
245	1392	4267
246	1396	4257
247	1402	4251
248	1409	4250
249	1415	4246
250	1421	4240
251	1425	4232
252	1431	4227
253	1438	4226
254	1443	4217
255	1449	4213
256	1454	4205
257	1459	4196
258	1463	4186
259	1468	4180
260	1473	4173
261	1478	4165
262	1484	4160
263	1488	4151
264	1493	4143
265	1499	4138
266	1504	4131
267	1509	4122
268	1515	4117
269	1520	4109
270	1525	4103
271	1534	4106
272	1539	4098
273	1544	4092
274	1550	4087
275	1555	4081
276	1559	4070
277	1567	4071
278	1573	4067
279	1580	4064
280	1586	4059
281	1593	4056
282	1602	4059
283	1607	4053
284	1615	4052
285	1620	4045
286	1627	4042
287	1631	4034
288	1638	4030
289	1644	4025
290	1650	4021
291	1656	4016
292	1664	4016
293	1670	4010
294	1675	4004
295	1681	3999
296	1686	3993
297	1694	3991
298	1699	3985
299	1705	3978
300	1710	3972
301	1715	3965
302	1722	3963
303	1728	3957
304	1732	3947
305	1738	3942
306	1744	3938
307	1751	3934
308	1757	3930
309	1763	3925
310	1769	3920
311	1774	3912
312	1780	3907
313	1789	3909
314	1794	3902
315	1800	3897
316	1806	3891
317	1811	3884
318	1818	3882
319	1823	3875
320	1828	3866
321	1833	3861
322	1839	3855
323	1844	3848
324	1852	3847
325	1857	3840
326	1862	3832
327	1868	3828
328	1874	3822
329	1882	3821
330	1887	3815
331	1892	3806
332	1897	3801
333	1902	3792
334	1907	3786
335	1916	3786
336	1921	3780
337	1926	3773
338	1932	3767
339	1938	3763
340	1947	3763
341	1953	3758
342	1957	3750
343	1963	3744
344	1969	3738
345	1972	3728
346	1979	3724
347	1984	3717
348	1988	3709
349	1993	3702
350	1998	3695
351	2005	3691
352	2011	3686
353	2017	3681
354	2022	3674
355	2027	3666
356	2032	3660
357	2038	3656
358	2046	3653
359	2052	3648
360	2056	3640
361	2062	3634
362	2066	3625
363	2071	3619
364	2077	3614
365	2082	3607
366	2087	3601
367	2092	3593
368	2097	3586
369	2103	3581
370	2108	3574
371	2114	3568
372	2119	3562
373	2124	3556
374	2128	3547
375	2135	3543
376	2141	3538
377	2146	3532
378	2151	3525
379	2156	3518
380	2161	3511
381	2167	3506
382	2174	3502
383	2181	3499
384	2186	3493
385	2190	3484
386	2197	3480
387	2202	3473
388	2207	3466
389	2213	3461
390	2217	3453
391	2222	3447
392	2229	3443
393	2233	3435
394	2238	3428
395	2243	3421
396	2248	3415
397	2253	3407
398	2257	3400
399	2263	3395
400	2268	3388
401	2273	3382
402	2279	3376
403	2283	3368
404	2288	3362
405	2295	3358
406	2301	3353
407	2307	3348
408	2312	3341
409	2317	3334
410	2324	3330
411	2330	3326
412	2336	3320
413	2343	3317
414	2350	3312
415	2356	3308
416	2361	3301
417	2366	3294
418	2370	3287
419	2376	3282
420	2381	3275
421	2388	3271
422	2392	3263
423	2397	3256
424	2401	3248
425	2406	3242
426	2411	3236
427	2416	3229
428	2424	3227
429	2430	3221
430	2434	3213
431	2439	3207
432	2445	3201
433	2451	3197
434	2457	3191
435	2461	3184
436	2465	3176
437	2470	3169
438	2475	3163
439	2483	3160
440	2488	3153
441	2492	3146
442	2497	3139
443	2501	3132
444	2507	3127
445	2513	3121
446	2518	3115
447	2523	3108
448	2528	3103
449	2534	3098
450	2542	3095
451	2550	3092
452	2556	3087
453	2564	3083
454	2570	3078
455	2577	3074
456	2583	3069
457	2587	3062
458	2592	3055
459	2596	3048
460	2601	3041
461	2607	3036
462	2612	3029
463	2616	3022
464	2621	3015
465	2627	3010
466	2632	3004
467	2639	2999
468	2644	2994
469	2649	2987
470	2653	2980
471	2657	2973
472	2662	2966
473	2667	2959
474	2674	2955
475	2680	2950
476	2685	2944
477	2689	2937
478	2694	2930
479	2699	2924
480	2706	2919
481	2711	2913
482	2717	2908
483	2723	2903
484	2731	2900
485	2737	2895
486	2742	2888
487	2746	2881
488	2752	2876
489	2756	2869
490	2761	2862
491	2768	2858
492	2773	2852
493	2778	2846
494	2784	2840
495	2789	2834
496	2794	2828
497	2802	2825
498	2809	2821
499	2815	2815
500	2820	2808
501	2824	2802
502	2831	2797
503	2837	2792
504	2843	2786
505	2848	2780
506	2852	2773
507	2855	2766
508	2861	2760
509	2867	2755
510	2872	2749
511	2878	2743
512	2883	2737
513	2888	2730
514	2894	2725
515	2898	2719
516	2904	2713
517	2910	2707
518	2915	2701
519	2920	2696
520	2930	2693
521	2937	2689
522	2942	2683
523	2947	2677
524	2952	2671
525	2958	2665
526	2965	2661
527	2971	2656
528	2976	2649
529	2980	2643
530	2985	2636
531	2991	2631
532	2995	2624
533	3000	2618
534	3006	2612
535	3010	2606
536	3015	2600
537	3023	2596
538	3029	2590
539	3033	2583
540	3039	2578
541	3043	2572
542	3048	2565
543	3056	2562
544	3060	2555
545	3065	2549
546	3071	2543
547	3076	2537
548	3080	2530
549	3087	2525
550	3092	2520
551	3098	2514
552	3104	2509
553	3109	2503
554	3117	2499
555	3123	2494
556	3128	2488
557	3134	2482
558	3139	2477
559	3146	2472
560	3152	2466
561	3157	2461
562	3163	2455
563	3169	2450
564	3174	2443
565	3181	2439
566	3185	2432
567	3190	2426
568	3195	2420
569	3201	2415
570	3207	2409
571	3213	2404
572	3218	2398
573	3222	2391
574	3226	2384
575	3232	2379
576	3238	2374
577	3244	2368
578	3249	2362
579	3253	2356
580	3259	2350
581	3262	2343
582	3268	2338
583	3275	2333
584	3281	2327
585	3285	2321
586	3291	2315
587	3295	2309
588	3302	2304
589	3310	2300
590	3316	2295
591	3322	2289
592	3327	2283
593	3332	2277
594	3339	2273
595	3344	2267
596	3348	2260
597	3353	2254
598	3359	2249
599	3364	2242
600	3370	2237
601	3375	2231
602	3379	2225
603	3385	2219
604	3390	2213
605	3394	2207
606	3400	2201
607	3406	2196
608	3410	2189
609	3415	2183
610	3420	2177
611	3425	2171
612	3432	2167
613	3440	2162
614	3444	2156
615	3449	2150
616	3454	2144
617	3459	2138
618	3466	2133
619	3472	2128
620	3477	2122
621	3482	2116
622	3488	2110
623	3495	2106
624	3503	2101
625	3509	2096
626	3514	2090
627	3518	2084
628	3522	2077
629	3528	2072
630	3533	2066
631	3538	2060
632	3544	2055
633	3550	2049
634	3555	2043
635	3562	2038
636	3569	2034
637	3575	2028
638	3579	2022
639	3584	2016
640	3590	2010
641	3595	2005
642	3601	1999
643	3606	1993
644	3611	1987
645	3616	1981
646	3622	1976
647	3627	1970
648	3633	1965
649	3638	1959
650	3642	1952
651	3647	1946
652	3652	1941
653	3658	1935
654	3664	1930
655	3670	1924
656	3677	1919
657	3683	1914
658	3690	1909
659	3698	1905
660	3704	1899
661	3709	1893
662	3714	1887
663	3720	1882
664	3727	1877
665	3734	1873
666	3738	1866
667	3743	1860
668	3749	1855
669	3755	1849
670	3760	1843
671	3765	1838
672	3770	1831
673	3775	1826
674	3781	1820
675	3786	1814
676	3790	1808
677	3796	1802
678	3801	1797
679	3806	1791
680	3813	1786
681	3819	1781
682	3825	1775
683	3831	1770
684	3837	1764
685	3843	1759
686	3849	1753
687	3854	1747
688	3859	1742
689	3866	1737
690	3872	1731
691	3881	1727
692	3885	1721
693	3890	1715
694	3898	1710
695	3903	1705
696	3909	1699
697	3915	1694
698	3921	1688
699	3928	1683
700	3934	1678
701	3942	1673
702	3948	1668
703	3952	1662
704	3959	1656
705	3965	1651
706	3971	1645
707	3978	1640
708	3984	1635
709	3990	1629
710	3996	1624
711	4002	1618
712	4008	1613
713	4013	1607
714	4018	1601
715	4024	1596
716	4030	1590
717	4038	1586
718	4044	1580
719	4050	1575
720	4056	1569
721	4061	1563
722	4070	1559
723	4076	1554
724	4081	1548
725	4088	1543
726	4094	1537
727	4103	1533
728	4108	1527
729	4113	1521
730	4119	1515
731	4124	1509
732	4131	1505
733	4137	1499
734	4143	1493
735	4148	1488
736	4154	1482
737	4160	1477
738	4167	1471
739	4172	1465
740	4178	1460
741	4183	1454
742	4188	1448
743	4195	1443
744	4202	1438
745	4207	1432
746	4212	1426
747	4217	1421
748	4222	1415
749	4229	1409
750	4234	1404
751	4240	1398
752	4245	1392
753	4249	1386
754	4254	1380
755	4261	1375
756	4265	1369
757	4271	1363
758	4278	1358
759	4283	1352
760	4291	1347
761	4297	1342
762	4301	1336
763	4305	1330
764	4310	1324
765	4314	1317
766	4319	1312
767	4327	1307
768	4332	1301
769	4338	1295
770	4343	1290
771	4348	1284
772	4355	1278
773	4361	1273
774	4366	1267
775	4371	1261
776	4376	1255
777	4381	1250
778	4387	1244
779	4392	1238
780	4398	1233
781	4403	1227
782	4409	1222
783	4415	1216
784	4420	1210
785	4426	1205
786	4432	1199
787	4437	1193
788	4443	1188
789	4451	1183
790	4456	1177
791	4461	1171
792	4467	1166
793	4473	1160
794	4481	1155
795	4487	1150
796	4493	1144
797	4499	1138
798	4504	1133
799	4509	1127
800	4516	1122
801	4522	1116
802	4528	1110
803	4533	1105
804	4538	1099
805	4544	1093
806	4549	1088
807	4554	1082
808	4560	1076
809	4565	1070
810	4570	1065
811	4577	1059
812	4582	1054
813	4587	1048
814	4594	1042
815	4599	1037
816	4605	1031
817	4611	1025
818	4617	1020
819	4622	1014
820	4629	1009
821	4635	1003
822	4642	998
823	4646	992
824	4652	986
825	4659	981
826	4664	975
827	4672	970
828	4680	965
829	4686	959
830	4693	954
831	4698	948
832	4706	943
833	4710	937
834	4715	931
835	4720	926
836	4726	920
837	4732	914
838	4737	909
839	4742	903
840	4746	897
841	4752	891
842	4760	886
843	4766	881
844	4771	875
845	4775	869
846	4780	863
847	4785	857
848	4791	852
849	4798	846
850	4802	840
851	4808	835
852	4812	829
853	4817	823
854	4823	817
855	4829	812
856	4836	806
857	4840	801
858	4845	795
859	4850	789
860	4858	784
861	4865	778
862	4869	773
863	4874	767
864	4879	761
865	4884	755
866	4890	750
867	4896	744
868	4900	738
869	4905	733
870	4911	727
871	4915	721
872	4920	715
873	4928	710
874	4933	704
875	4937	698
876	4942	693
877	4947	687
878	4951	681
879	4958	676
880	4963	670
881	4969	664
882	4973	659
883	4979	653
884	4984	647
885	4990	642
886	4995	636
887	5000	630
888	5005	625
889	5010	619
890	5015	613
891	5022	608
892	5027	602
893	5032	596
894	5036	590
895	5041	585
896	5047	579
897	5055	574
898	5063	568
899	5069	563
900	5073	557
901	5077	551
902	5083	546
903	5090	540
904	5095	534
905	5099	529
906	5105	523
907	5109	517
908	5116	512
909	5122	506
910	5127	500
911	5132	495
912	5137	489
913	5141	483
914	5148	478
915	5153	472
916	5160	467
917	5165	461
918	5169	455
919	5174	449
920	5179	444
921	5185	438
922	5190	433
923	5195	427
924	5199	421
925	5204	415
926	5211	410
927	5218	404
928	5225	399
929	5228	393
930	5233	387
931	5239	382
932	5246	376
933	5252	371
934	5257	365
935	5262	359
936	5267	354
937	5274	348
938	5280	343
939	5286	337
940	5291	331
941	5296	326
942	5302	320
943	5307	314
944	5311	309
945	5316	303
946	5322	297
947	5326	292
948	5332	286
949	5339	281
950	5343	275
951	5348	269
952	5354	264
953	5359	258
954	5365	252
955	5372	247
956	5378	241
957	5383	236
958	5389	230
959	5395	224
960	5402	219
961	5408	213
962	5414	208
963	5420	202
964	5426	196
965	5434	191
966	5441	185
967	5447	180
968	5454	174
969	5460	168
970	5468	163
971	5473	157
972	5479	152
973	5485	146
974	5490	140
975	5497	135
976	5502	129
977	5506	123
978	5512	118
979	5518	112
980	5526	107
981	5531	101
982	5535	95
983	5541	90
984	5545	84
985	5549	78
986	5557	73
987	5562	67
988	5566	61
989	5571	56
990	5576	50
991	5582	45
992	5591	39
993	5598	33
994	5603	28
995	5608	22
996	5613	16
997	5619	11
998	5626	5
999	5633	0
