iter	RMSE
320	13494.4631
321	13465.89241
322	13439.31506
323	13407.15755
324	13384.11751
325	13361.49909
326	13332.23834
327	13302.24214
328	13281.16093
329	13255.94055
330	13235.30492
331	13211.86917
332	13188.4987
333	13174.25008
334	13152.23081
335	13122.48702
336	13100.59735
337	13076.79267
338	13064.763
339	13033.74626
340	13012.14554
341	12993.57363
342	12974.91038
343	12958.86195
344	12931.9386
345	12911.10251
346	12891.98183
347	12865.15333
348	12850.08158
349	12831.58475
350	12799.0465
351	12772.92339
352	12762.44187
353	12741.38102
354	12730.51507
355	12713.06874
356	12690.21756
357	12667.88057
358	12641.01446
359	12619.02272
360	12600.72912
361	12570.11433
362	12547.48596
363	12535.68392
364	12525.7778
365	12505.10885
366	12481.2355
367	12456.1635
368	12434.27895
369	12411.87936
370	12374.79001
371	12358.06377
372	12339.11585
373	12312.25144
374	12280.893
375	12257.85222
376	12241.49262
377	12218.08435
378	12195.38499
379	12164.15602
380	12149.06802
381	12125.68779
382	12111.3958
383	12089.42699
384	12080.86278
385	12067.94519
386	12042.66209
387	12027.37202
388	12009.99224
389	11985.36464
390	11966.63619
391	11948.63326
392	11931.35182
393	11906.88919
394	11879.6632
395	11859.18893
396	11839.86078
397	11824.78333
398	11803.87733
399	11780.94831
400	11765.4868
401	11746.6921
402	11734.11602
403	11717.59767
404	11695.09513
405	11675.93982
406	11664.94075
407	11646.34327
408	11626.32241
409	11597.62125
410	11590.52272
411	11578.57297
412	11563.88589
413	11553.53331
414	11530.96367
415	11514.11035
416	11501.86208
417	11483.26878
418	11468.28172
419	11447.86283
420	11429.85187
421	11410.60726
422	11383.87029
423	11358.51134
424	11343.37294
425	11335.73083
426	11316.86265
427	11294.71934
428	11271.86706
429	11248.23513
430	11236.72901
431	11222.78703
432	11207.28918
433	11185.18798
434	11168.95166
435	11158.82638
436	11141.99457
437	11130.31291
438	11106.1764
439	11080.69058
440	11058.8064
441	11039.32514
442	11029.77444
443	11013.81336
444	10997.59293
445	10982.58265
446	10969.67364
447	10957.48441
448	10951.0328
449	10930.14289
450	10916.19757
451	10901.18049
452	10880.89822
453	10868.62699
454	10852.07703
455	10839.91008
456	10826.20702
457	10800.82754
458	10784.11713
459	10764.42949
460	10752.03633
461	10745.74397
462	10725.25922
463	10717.00265
464	10700.262
465	10691.2106
466	10677.47993
467	10657.50621
468	10653.35293
469	10638.24683
470	10622.48303
471	10616.14807
472	10613.22091
473	10600.74221
474	10581.66154
475	10559.0417
476	10543.91737
477	10526.89719
478	10520.30403
479	10504.26413
480	10493.65014
481	10481.16549
482	10466.11063
483	10450.16026
484	10428.41553
485	10415.94795
486	10408.03494
487	10387.27716
488	10374.5198
489	10355.2669
490	10335.21569
491	10326.42605
492	10314.76736
493	10296.71531
494	10280.45162
495	10258.16319
496	10244.22056
497	10233.32007
498	10212.02486
499	10195.46298
500	10188.1081
501	10173.49142
502	10153.45895
503	10140.54332
504	10123.57956
505	10103.41372
506	10084.99191
507	10076.19941
508	10065.37028
509	10057.51995
510	10042.00447
511	10034.21196
512	10017.00591
513	10005.62439
514	9991.246734
515	9973.51568
516	9958.424191
517	9943.507156
518	9929.825969
519	9916.294784
520	9910.490955
521	9898.316223
522	9885.3242
523	9872.653666
524	9855.391035
525	9847.802378
526	9834.001423
527	9820.0661
528	9808.20559
529	9789.773907
530	9769.430944
531	9753.742137
532	9737.725871
533	9722.029921
534	9706.124014
535	9704.155311
536	9684.540816
537	9661.209232
538	9648.971814
539	9637.673114
540	9621.50366
541	9607.869176
542	9592.947175
543	9577.716416
544	9559.848697
545	9543.240776
546	9537.842432
547	9521.563083
548	9513.39531
549	9498.083278
550	9489.705764
551	9475.733937
552	9465.503753
553	9452.100663
554	9437.654752
555	9423.849707
556	9410.6955
557	9397.502357
558	9376.361803
559	9363.429255
560	9344.13798
561	9338.791833
562	9328.81521
563	9319.30099
564	9310.338814
565	9298.673155
566	9285.673377
567	9280.98735
568	9276.70001
569	9271.131435
570	9257.033706
571	9244.287033
572	9223.529606
573	9205.290056
574	9197.041902
575	9186.093748
576	9170.244246
577	9167.269337
578	9156.698829
579	9143.109121
580	9127.540909
581	9112.992941
582	9112.095339
583	9104.001889
584	9090.823857
585	9076.128651
586	9070.434853
587	9061.426674
588	9048.62869
589	9039.312492
590	9021.228311
591	9008.132048
592	8998.992865
593	8993.097441
594	8977.135222
595	8961.604521
596	8958.306756
597	8946.874435
598	8942.88147
599	8936.052629
600	8934.175537
601	8928.299833
602	8922.497083
603	8903.893102
604	8883.624329
605	8880.892592
606	8868.024337
607	8847.69583
608	8836.629961
609	8823.93001
610	8810.905073
611	8792.977443
612	8787.92801
613	8770.923163
614	8755.288742
615	8743.973014
616	8732.088504
617	8718.185892
618	8707.691642
619	8693.632719
620	8680.173667
621	8667.872027
622	8648.903815
623	8641.827873
624	8628.368675
625	8616.458527
626	8598.797657
627	8594.658747
628	8589.932215
629	8567.064797
630	8547.182749
631	8540.05882
632	8525.484847
633	8510.855922
634	8495.905537
635	8484.528725
636	8472.617943
637	8468.034693
638	8448.67458
639	8434.258548
640	8430.653349
641	8421.905568
642	8409.540012
643	8392.592005
644	8375.829258
645	8371.844037
646	8365.664797
647	8354.3939
648	8338.645127
649	8333.149397
650	8323.492133
651	8309.268934
652	8300.344476
653	8290.548914
654	8286.421404
655	8271.644664
656	8260.897108
657	8245.176031
658	8237.027246
659	8228.502876
660	8216.350344
661	8204.271085
662	8193.094271
663	8190.249028
664	8181.219944
665	8173.236023
666	8165.043303
667	8146.640247
668	8137.785471
669	8135.11559
670	8127.785677
671	8113.526447
672	8111.769321
673	8104.625878
674	8095.663722
675	8092.412824
676	8091.056163
677	8089.306348
678	8080.610889
679	8074.646377
680	8070.307
681	8061.582711
682	8052.229858
683	8037.443718
684	8035.490303
685	8024.933342
686	8014.344192
687	8003.940629
688	7986.449936
689	7974.935945
690	7960.672044
691	7949.870564
692	7946.011629
693	7936.12943
694	7928.702942
695	7926.40168
696	7918.55132
697	7910.02106
698	7902.389585
699	7886.923307
700	7874.036321
701	7872.393136
702	7863.227815
703	7861.576998
704	7854.45891
705	7843.400895
706	7833.880395
707	7831.281987
708	7816.156609
709	7814.565187
710	7799.78733
711	7795.811836
712	7782.686843
713	7771.755882
714	7760.677574
715	7746.973331
716	7742.001678
717	7733.153098
718	7727.949355
719	7717.806968
720	7704.822331
721	7693.892206
722	7678.991089
723	7665.435641
724	7652.16681
725	7642.152231
726	7640.102066
727	7638.049802
728	7622.704513
729	7612.803446
730	7610.961878
731	7605.314934
732	7595.419262
733	7580.908161
734	7570.842292
735	7564.887898
736	7550.966406
737	7549.39417
738	7540.390876
739	7529.283817
740	7520.547882
741	7512.215636
742	7501.268064
743	7491.021468
744	7489.099318
745	7481.543849
746	7465.698157
747	7457.447044
748	7440.142745
749	7428.216444
750	7418.261521
751	7416.301881
752	7410.180228
753	7407.879333
754	7403.704798
755	7401.971194
756	7399.081977
757	7388.296843
758	7374.107639
759	7360.271354
760	7345.705198
761	7337.315719
762	7324.818292
763	7320.307807
764	7310.833155
765	7304.560788
766	7287.54643
767	7277.25705
768	7270.28236
769	7261.244909
770	7250.862863
771	7239.423928
772	7224.67104
773	7219.194863
774	7217.768752
775	7206.448352
776	7200.699523
777	7190.540855
778	7178.102866
779	7170.11447
780	7159.868663
781	7157.414123
782	7146.392547
783	7140.817375
784	7136.41129
785	7130.093543
786	7122.843985
787	7109.222043
788	7095.809591
789	7089.094712
790	7078.443617
791	7070.056119
792	7064.912007
793	7056.67459
794	7051.441008
795	7039.656703
796	7026.304198
797	7019.702146
798	7018.310058
799	7003.850953
800	6996.395241
801	6990.867718
802	6978.703586
803	6977.031095
804	6976.164119
805	6964.149267
806	6955.094618
807	6947.238627
808	6938.528913
809	6928.153172
810	6924.078003
811	6922.517711
812	6913.897394
813	6904.834813
814	6895.669987
815	6886.736818
816	6874.95402
817	6868.342699
818	6867.46598
819	6859.141605
820	6847.445153
821	6837.66033
822	6828.697604
823	6826.081989
824	6823.906095
825	6815.851176
826	6806.107848
827	6803.815994
828	6799.006425
829	6790.55258
830	6786.892864
831	6776.001745
832	6766.746042
833	6759.574783
834	6754.606136
835	6747.354433
836	6744.537586
837	6732.714196
838	6729.004923
839	6728.205209
840	6715.748782
841	6714.492329
842	6704.19495
843	6689.095674
844	6680.168071
845	6669.972751
846	6660.890976
847	6655.272095
848	6650.207108
849	6648.125644
850	6645.059978
851	6638.267337
852	6628.476092
853	6622.528501
854	6612.990837
855	6602.4637
856	6595.449098
857	6591.781538
858	6585.232908
859	6572.332631
860	6562.450684
861	6556.507529
862	6554.454153
863	6551.704461
864	6545.391271
865	6538.189741
866	6528.924147
867	6525.530998
868	6522.939012
869	6521.1962
870	6518.618485
871	6509.441511
872	6502.112756
873	6501.228515
874	6493.648405
875	6490.325335
876	6471.655304
877	6470.050897
878	6462.424416
879	6454.096249
880	6438.362805
881	6429.426518
882	6418.188459
883	6412.341067
884	6400.094279
885	6391.08531
886	6389.801572
887	6387.564195
888	6377.393278
889	6372.918675
890	6364.009986
891	6355.182799
892	6348.12643
893	6347.436775
894	6341.038993
895	6334.629769
896	6324.491949
897	6316.72436
898	6305.768314
899	6297.568567
900	6290.104697
901	6285.641058
902	6284.856941
903	6278.707272
904	6277.152459
905	6264.250786
906	6258.39697
907	6252.612241
908	6239.846385
909	6238.464123
910	6227.165618
911	6214.259455
912	6205.114628
913	6195.766289
914	6183.540504
915	6180.447839
916	6171.786744
917	6161.216971
918	6151.829102
919	6149.065166
920	6146.402368
921	6138.485302
922	6127.596535
923	6119.073953
924	6111.368668
925	6098.92125
926	6093.287359
927	6091.307784
928	6081.249054
929	6077.851105
930	6076.412985
931	6075.744431
932	6075.156623
933	6070.238879
934	6059.798132
935	6053.939598
936	6046.915981
937	6034.237511
938	6027.181096
939	6025.311161
940	6018.531197
941	6018.073251
942	6009.738454
943	6004.116821
944	5993.877285
945	5987.397746
946	5980.858534
947	5978.356037
948	5975.02556
949	5965.205594
950	5963.437748
951	5953.160035
952	5946.987933
953	5944.779858
954	5939.206778
955	5928.433742
956	5925.117772
957	5914.862155
958	5913.013993
959	5900.132291
960	5894.939277
961	5891.994643
962	5887.151069
963	5886.206511
964	5884.095591
965	5876.849727
966	5866.519741
967	5860.33571
968	5853.127373
969	5844.19902
970	5837.788165
971	5833.348414
972	5827.862885
973	5815.607057
974	5813.739216
975	5804.704982
976	5793.693173
977	5785.09455
978	5780.54359
979	5776.10047
980	5769.424939
981	5760.940829
982	5759.221793
983	5754.26308
984	5748.300112
985	5747.890863
986	5741.831387
987	5731.168415
988	5724.370699
989	5719.597543
990	5708.848819
991	5703.462461
992	5698.983653
993	5691.701473
994	5684.737623
995	5678.471373
996	5677.812499
997	5673.909888
998	5671.446739
999	5670.421946
